ID,Player,Team Name,Conf,Wins,Draws,Losses,Bonus Points (Losing),Bonus Points (Try),Points Scored,Points Conceded
1,Sam,Gilbert's Goons,Conference A,1,0,1,0,1,368,337.5
2,Ben,Imperium of Man,Conference A,2,0,0,0,1,376,317
3,Rhu,Rhu's Team,Conference A,1,0,1,0,0,323.5,331.5
4,Cheese,Cheese's Team,Conference A,0,0,2,1,0,323,362.5
5,Steggles,Steggles' Team,Conference A,1,0,1,0,0,331,354
6,Jamie,Jamie's Team,Conference A,1,0,1,0,0,311.5,330.5
7,Dan,Five Meter Cum,Conference B,1,0,1,0,2,375.5,343
8,Alex,Rehabilitated Dogs,Conference B,2,0,0,0,2,374,336
9,Jack,Jack's Team,Conference B,0,0,2,0,0,309.5,383.5
10,Gary,Burger's Boks,Conference B,1,0,1,0,0,314,293.5
11,Oli,Aboutasshit Tigers,Conference B,1,0,1,0,2,359.5,367
12,Luke,Luke's Team,Conference B,1,0,1,0,1,320,329.5
