ID,Player,Team Name,Conf,Wins,Draws,Losses,Bonus Points (Losing),Bonus Points (Try),Points Scored,Points Conceded
1,Sam,Gilbert's Goons,Conference A,2,0,2,0,2,628,596
2,Ben,Imperium of Man,Conference A,4,0,0,0,2,688,614
3,Rhu,Rhu's Team,Conference A,2,0,2,1,1,648,620
4,Cheese,Cheese's Team,Conference A,1,0,3,1,0,612,639
5,Steggles,Steggles' Team,Conference A,2,0,2,0,0,586.5,628.5
6,Jamie,Jamie's Team,Conference A,1,0,3,0,0,567.5,632.5
7,Dan,Five Meter Cum,Conference B,2,0,2,0,2,616.5,608
8,Alex,Rehabilitated Dogs,Conference B,3,0,1,0,2,672,608.5
9,Jack,Jack's Team,Conference B,2,0,2,0,1,624.5,675
10,Gary,Burger's Boks,Conference B,1,0,3,0,1,573.5,575
11,Oli,Aboutasshit Tigers,Conference B,2,0,2,0,2,613.5,621.5
12,Luke,Luke's Team,Conference B,2,0,2,0,1,570,582
