ID,Player,Team Name,Conf,Wins,Draws,Losses,Bonus Points (Losing),Bonus Points (Try),Points Scored,Points Conceded
1,Sam,Gilbert's Goons,Conference A,3,0,3,0,4,998,845
2,Ben,Imperium of Man,Conference A,6,0,0,0,4,1102.5,843
3,Rhu,Rhu's Team,Conference A,4,0,2,1,2,1037,912
4,Cheese,Cheese's Team,Conference A,1,0,5,2,0,910.5,1055
5,Steggles,Steggles' Team,Conference A,3,0,3,0,0,879,1060.5
6,Jamie,Jamie's Team,Conference A,1,0,5,0,1,837.5,1060.5
7,Dan,Five Meter Cum,Conference B,3,0,3,0,4,1007,942.5
8,Alex,Rehabilitated Dogs,Conference B,5,0,1,0,3,1045.5,923.5
9,Jack,Jack's Team,Conference B,3,0,3,0,1,930.5,1003.5
10,Gary,Burger's Boks,Conference B,2,0,4,1,3,927,920.5
11,Oli,Aboutasshit Tigers,Conference B,2,0,4,1,2,927,993.5
12,Luke,Luke's Team,Conference B,3,0,3,0,1,852,905.5
