ID,Player,Team Name,Conf,Wins,Draws,Losses,Bonus Points (Losing),Bonus Points (Try),Points Scored,Points Conceded
1,Sam,Gilbert's Goons,Conference A,3,0,2,0,3,836,720.5
2,Ben,Imperium of Man,Conference A,5,0,0,0,3,904,728.5
3,Rhu,Rhu's Team,Conference A,3,0,2,1,2,862,766
4,Cheese,Cheese's Team,Conference A,1,0,4,1,0,736.5,847
5,Steggles,Steggles' Team,Conference A,2,0,3,0,0,701,844.5
6,Jamie,Jamie's Team,Conference A,1,0,4,0,1,713.5,846.5
7,Dan,Five Meter Cum,Conference B,2,0,3,0,3,790,791.5
8,Alex,Rehabilitated Dogs,Conference B,4,0,1,0,3,873.5,753.5
9,Jack,Jack's Team,Conference B,3,0,2,0,1,779.5,786.5
10,Gary,Burger's Boks,Conference B,2,0,3,0,2,757,748.5
11,Oli,Aboutasshit Tigers,Conference B,2,0,3,0,2,758.5,823
12,Luke,Luke's Team,Conference B,2,0,3,0,1,681.5,737
