ID,Player,Team Name,Conf,Wins,Draws,Losses,Bonus Points (Losing),Bonus Points (Try),Points Scored,Points Conceded
1,Sam,Gilbert's Goons,Conference A,4,0,4,0,6,1334,1222.5
2,Ben,Imperium of Man,Conference A,8,0,0,0,6,1468,1156
3,Rhu,Rhu's Team,Conference A,4,0,4,2,3,1354.5,1264.5
4,Cheese,Cheese's Team,Conference A,2,0,6,2,1,1216.5,1327
5,Steggles,Steggles' Team,Conference A,5,0,3,0,1,1224.5,1352
6,Jamie,Jamie's Team,Conference A,1,0,7,0,2,1056,1407.5
7,Dan,Five Meter Cum,Conference B,3,0,5,0,5,1270.5,1267
8,Alex,Rehabilitated Dogs,Conference B,6,0,2,0,5,1367,1306
9,Jack,Jack's Team,Conference B,5,0,3,0,3,1312.5,1372
10,Gary,Burger's Boks,Conference B,2,0,6,1,3,1238,1312.5
11,Oli,Aboutasshit Tigers,Conference B,3,0,5,1,4,1303,1314
12,Luke,Luke's Team,Conference B,5,0,3,0,2,1204.5,1190.5
